trade_id_open,trade_id_close,timestamp_open,timestamp_close,inner_length,total_length,binary_code_str,binary_code_int
1601282586.0,1601282589.0,2026-04-01 18:19:12.504000,2026-04-01 18:19:13.106000,2,4,0000 0010 1000 0000,640
1601282592.0,1601282598.0,2026-04-01 18:19:13.106000,2026-04-01 18:19:15.607000,5,7,0000 0001 0100 0010 1001 0100 0000,1321280
1601282614.0,1601282617.0,2026-04-01 18:19:17.158000,2026-04-01 18:19:17.788000,2,4,0000 0001 0100 0000,320
1601282622.0,1601282625.0,2026-04-01 18:19:19.778000,2026-04-01 18:19:22.271000,2,4,0000 0010 1000 0000,640
1601282626.0,1601282630.0,2026-04-01 18:19:24.136000,2026-04-01 18:19:25.268000,3,5,0000 0001 0110 1000 0000,5760
1601282634.0,1601282639.0,2026-04-01 18:19:25.268000,2026-04-01 18:19:29.668000,4,6,0000 0010 1001 0110 1000 0000,169600
1601282647.0,1601282650.0,2026-04-01 18:19:30.599000,2026-04-01 18:19:30.966000,2,4,0000 0010 1000 0000,640
1601282659.0,1601282662.0,2026-04-01 18:19:31.022000,2026-04-01 18:19:31.088000,2,4,0000 0010 1000 0000,640
1601282672.0,1601282675.0,2026-04-01 18:19:33.007000,2026-04-01 18:19:33.203000,2,4,0000 0010 1000 0000,640
1601282679.0,1601282682.0,2026-04-01 18:19:33.203000,2026-04-01 18:19:36.308000,2,4,0000 0001 0100 0000,320
1601282689.0,1601282693.0,2026-04-01 18:19:36.308000,2026-04-01 18:19:37.712000,3,5,0000 0001 0110 1000 0000,5760
1601282694.0,1601282698.0,2026-04-01 18:19:37.712000,2026-04-01 18:19:39.768000,3,5,0000 0001 0110 1000 0000,5760
1601282703.0,1601282707.0,2026-04-01 18:19:39.768000,2026-04-01 18:19:41.633000,3,5,0000 0010 1001 0100 0000,10560
1601282714.0,1601282717.0,2026-04-01 18:19:44.024000,2026-04-01 18:19:44.225000,2,4,0000 0001 0100 0000,320
1601282732.0,1601282735.0,2026-04-01 18:19:44.226000,2026-04-01 18:19:44.291000,2,4,0000 0001 0100 0000,320
1601282746.0,1601282749.0,2026-04-01 18:19:44.291000,2026-04-01 18:19:44.480000,2,4,0000 0001 0100 0000,320
1601282761.0,1601282764.0,2026-04-01 18:19:44.480000,2026-04-01 18:19:44.599000,2,4,0000 0001 0100 0000,320
1601282781.0,1601282784.0,2026-04-01 18:19:44.604000,2026-04-01 18:19:44.611000,2,4,0000 0001 0100 0000,320
1601282796.0,1601282799.0,2026-04-01 18:19:44.611000,2026-04-01 18:19:45.163000,2,4,0000 0001 0100 0000,320
1601282813.0,1601282816.0,2026-04-01 18:19:45.480000,2026-04-01 18:19:46.588000,2,4,0000 0001 0100 0000,320
1601282829.0,1601282832.0,2026-04-01 18:19:46.588000,2026-04-01 18:19:50.978000,2,4,0000 0001 0100 0000,320
1601282849.0,1601282852.0,2026-04-01 18:19:50.980000,2026-04-01 18:19:51.523000,2,4,0000 0001 0100 0000,320
1601282868.0,1601282871.0,2026-04-01 18:19:51.525000,2026-04-01 18:19:51.618000,2,4,0000 0001 0100 0000,320
1601282883.0,1601282886.0,2026-04-01 18:19:51.618000,2026-04-01 18:19:52.487000,2,4,0000 0001 0100 0000,320
1601282899.0,1601282902.0,2026-04-01 18:19:52.487000,2026-04-01 18:19:52.568000,2,4,0000 0001 0100 0000,320
1601282916.0,1601282919.0,2026-04-01 18:19:53.351000,2026-04-01 18:19:53.355000,2,4,0000 0001 0100 0000,320
1601282935.0,1601282938.0,2026-04-01 18:19:56.821000,2026-04-01 18:19:59.978000,2,4,0000 0001 0100 0000,320
1601282944.0,1601282948.0,2026-04-01 18:19:59.997000,2026-04-01 18:20:01.032000,3,5,0000 0010 1001 0100 0000,10560
1601282964.0,1601282967.0,2026-04-01 18:20:01.034000,2026-04-01 18:20:01.042000,2,4,0000 0001 0100 0000,320
1601282983.0,1601282986.0,2026-04-01 18:20:01.042000,2026-04-01 18:20:01.124000,2,4,0000 0001 0100 0000,320
1601283000.0,1601283003.0,2026-04-01 18:20:01.124000,2026-04-01 18:20:01.192000,2,4,0000 0001 0100 0000,320
1601283020.0,1601283023.0,2026-04-01 18:20:01.308000,2026-04-01 18:20:03.896000,2,4,0000 0001 0100 0000,320
1601283030.0,1601283034.0,2026-04-01 18:20:04.562000,2026-04-01 18:20:05.668000,3,5,0000 0010 1001 0100 0000,10560
1601283045.0,1601283048.0,2026-04-01 18:20:05.668000,2026-04-01 18:20:05.771000,2,4,0000 0001 0100 0000,320
1601283060.0,1601283063.0,2026-04-01 18:20:05.771000,2026-04-01 18:20:08.947000,2,4,0000 0001 0100 0000,320
1601283064.0,1601283068.0,2026-04-01 18:20:08.947000,2026-04-01 18:20:11.718000,3,5,0000 0010 1001 0100 0000,10560
1601283076.0,1601283079.0,2026-04-01 18:20:11.718000,2026-04-01 18:20:11.953000,2,4,0000 0001 0100 0000,320
1601283098.0,1601283101.0,2026-04-01 18:20:14.669000,2026-04-01 18:20:15.131000,2,4,0000 0001 0100 0000,320
1601283112.0,1601283115.0,2026-04-01 18:20:15.131000,2026-04-01 18:20:15.271000,2,4,0000 0001 0100 0000,320
1601283122.0,1601283125.0,2026-04-01 18:20:15.544000,2026-04-01 18:20:15.568000,2,4,0000 0010 1000 0000,640
1601283142.0,1601283146.0,2026-04-01 18:20:18.024000,2026-04-01 18:20:24.187000,3,5,0000 0001 0110 1000 0000,5760
1601283147.0,1601283150.0,2026-04-01 18:20:24.187000,2026-04-01 18:20:25.300000,2,4,0000 0001 0100 0000,320
1601283160.0,1601283163.0,2026-04-01 18:20:25.300000,2026-04-01 18:20:25.402000,2,4,0000 0001 0100 0000,320
1601283181.0,1601283184.0,2026-04-01 18:20:25.402000,2026-04-01 18:20:25.469000,2,4,0000 0001 0100 0000,320
1601283196.0,1601283199.0,2026-04-01 18:20:25.469000,2026-04-01 18:20:25.690000,2,4,0000 0001 0100 0000,320
1601283217.0,1601283220.0,2026-04-01 18:20:25.918000,2026-04-01 18:20:26.118000,2,4,0000 0010 1000 0000,640
1601283225.0,1601283228.0,2026-04-01 18:20:26.118000,2026-04-01 18:20:26.118000,2,4,0000 0010 1000 0000,640
1601283234.0,1601283237.0,2026-04-01 18:20:26.118000,2026-04-01 18:20:26.173000,2,4,0000 0010 1000 0000,640
1601283243.0,1601283246.0,2026-04-01 18:20:26.173000,2026-04-01 18:20:26.789000,2,4,0000 0010 1000 0000,640
1601283260.0,1601283263.0,2026-04-01 18:20:27.560000,2026-04-01 18:20:30.118000,2,4,0000 0010 1000 0000,640
1601283272.0,1601283275.0,2026-04-01 18:20:30.118000,2026-04-01 18:20:30.999000,2,4,0000 0010 1000 0000,640
1601283287.0,1601283290.0,2026-04-01 18:20:31.781000,2026-04-01 18:20:33.018000,2,4,0000 0010 1000 0000,640
1601283297.0,1601283300.0,2026-04-01 18:20:33.018000,2026-04-01 18:20:33.668000,2,4,0000 0010 1000 0000,640
1601283308.0,1601283311.0,2026-04-01 18:20:33.668000,2026-04-01 18:20:33.668000,2,4,0000 0010 1000 0000,640
